publish,ID,type_01,@icon,@icon_bg,@divider,initiative,name,variant,cd_duration,@effect_01,@effect_02,major,@spending_icon_01,spending_text_01,@spending_icon_02,spending_text_02,@spending_icon_03,spending_text_03,minor
x,a1,Attack,/images/challenge-icon.png,/images/challenge-icon-bg.png,/images/basicvariant-divider.png,3,Challenge,Basic Variant,2,/images/interrupt.png,,Pull (2)  Attack    ##Interrupt(end_int)  Prevent an adjacent enemy from attacking an ally by making yourself the target instead.,,,,,,,Move (3)
x,a2,Attack,/images/challenge-icon.png,/images/challenge-icon-bg.png,/images/alphavariant-divider.png,5,Challenge,Alpha Variant,2,/images/interrupt.png,,Pull (4)  Attack    ##Interrupt(end_int)  Prevent an adjacent enemy from attacking an ally by making yourself the target instead.,,,,,,,Pull (1) OR Move (3)  Attack
x,a3,Attack,/images/challenge-icon.png,/images/challenge-icon-bg.png,/images/betavariant-divider.png,3,Challenge,Beta Variant,1,/images/interrupt.png,,##Interrupt(end_int)  Prevent an adjacent enemy from attacking an ally by making yourself the target instead.  You may use the below spending option on that defense.,/images/doubleplus-icon.png,Cooldown -1.,,,,,Move (4)
x,a4,Attack,/images/dispersion-icon.png,/images/dispersion-icon-bg.png,/images/basicvariant-divider.png,2,Dispersion,Basic Variant,4,,,"Attack, add (Enhancement Die).",/images/plus-icon.png,Hit a third enemy within range.,/images/plus-icon.png,Hit a second enemy within range.,,,Attack  Move (2)
x,a5,Attack,/images/dispersion-icon.png,/images/dispersion-icon-bg.png,/images/alphavariant-divider.png,2,Dispersion,Alpha Variant,5,,,Perform one attack each against up to three enemies within range.,,,,,,,Attack  Move (2)
x,a6,Attack,/images/dispersion-icon.png,/images/dispersion-icon-bg.png,/images/betavariant-divider.png,4,Dispersion,Beta Variant,3,,,"Attack, add (Enhancement Die).",/images/star-icon.png,Move 1. Then hit a third enemy within range.,/images/plus-icon.png,Heal one scratch from yourself.,/images/plus-icon.png,Move 1. Then hit a second enemy within range.,Attack  Move (2)
x,a7,Attack,/images/concussion-icon.png,/images/concussion-icon-bg.png,/images/basicvariant-divider.png,3,Concussion,Basic Variant,3,,,"Attack, add (Enhancement Die).",/images/star-icon.png,Cooldown -1.,/images/plus-icon.png,Cause Stun.,,,"Move (1)  Attack, add (Blessing Die)."
x,a8,Attack,/images/concussion-icon.png,/images/concussion-icon-bg.png,/images/alphavariant-divider.png,3,Concussion,Alpha Variant,2,,,"Attack, add (Enhancement Die) (Blessing Die).",/images/star-icon.png,Cooldown -1.,/images/plus-icon.png,Cause Stun.,,,"Move (2)  Attack, add (Blessing Die)."
x,a9,Attack,/images/concussion-icon.png,/images/concussion-icon-bg.png,/images/betavariant-divider.png,3,Concussion,Beta Variant,3,,,"Attack, add (Enhancement Die) (Blessing Die).",/images/star-icon.png,Cooldown -1.,/images/plus-icon.png,Cause Dazed.,/images/plus-icon.png,Cause Stun.,Attack  Cause Dazed against the target.
x,a10,Attack,/images/displacingblow-icon.png,/images/displacingblow-icon-bg.png,/images/basicvariant-divider.png,1,Displacing Blow,Basic Variant,3,,,"Attack, add (Enhancement Die).",/images/star-icon.png,+3 Power.,/images/doubleplus-icon.png,Cause Knockback (3).,/images/plus-icon.png,Cause Knockback (2).,Cause Knockback (1) OR Pull (1) against a model within range 6.  Move (1)
x,a11,Attack,/images/displacingblow-icon.png,/images/displacingblow-icon-bg.png,/images/alphavariant-divider.png,4,Displacing Blow,Alpha Variant,2,,,"Attack, add (Enhancement Die).",/images/plus-icon.png,Move the enemy by 4 squares. Then you may assume a position adjacent to that enemy.,/images/plus-icon.png,Cause Knockback (2).,,,Cause Knockback (1) OR Pull (1) against a model within range 6.  Move (1)
x,a12,Attack,/images/displacingblow-icon.png,/images/displacingblow-icon-bg.png,/images/betavariant-divider.png,1,Displacing Blow,Beta Variant,3,,,"Attack, add (Enhancement Die).",/images/star-icon.png,+3 Power.,/images/doubleplus-icon.png,Cause Stun.,/images/plus-icon.png,Cause Knockback (3) or Dazed.,Cause Knockback (1) OR Pull (1) against a model within range 6.  Move (1)
x,a13,Attack,/images/doubletrouble-icon.png,/images/doubletrouble-icon-bg.png,/images/basicvariant-divider.png,4,Double Trouble,Basic Variant,3,,,Perform a separate attack with two of your equipped weapons.    You may only use the spending options on the first attack.,/images/plus-icon.png,Cooldown -1.,,,,,Move (2)  Attack
