publish,ID,type,enables_spellcasting,spend,description,difficulty,cost_gold,cost_iron,cost_wood,cost_silver,cost_cloth,cost_steel,cost_celestium,cost_hardwood,compatible_items,cb001,cb002,cb003,cb004,cb005,cb006,cb007,cb008,cb009,cb010,cb011,cb012,cb013,Resource Costs,Greatsword,Blade,Polearm,Axe,Maul,Bow,Throwing Knife,Staff,Wand,Shield,Light Armor,Med. Armor,Heavy Armor
x,co001,Dice,,,"Add <img src=""images/enhancement-die.png"" class=""CardSymbol""> to attacks and melee defense.",2,0,1,,,,1,,,"cb001,cb003","cb001,",,cb003,,,,,,,,,,,"Steel, Iron",X,,X,,,,,,,,,,
x,co002,Dice,TRUE,,"Add <img src=""images/enhancement-die.png"" class=""CardSymbol""> to attacks and spellcasting.",3,0,,1,1,,1,,,"cb001,cb003,cb006,cb008,cb009","cb001,",,"cb003,",,,"cb006,",,"cb008,",cb009,,,,,"Steel, Silver, Wood",X,,X,,,X,,X,X,,,,
x,co003,Dice,,,"Add <img src=""images/blessing-die.png"" class=""CardSymbol""> to attacks and melee defense.",2,0,1,1,,,,,,"cb002,cb003",,"cb002,",cb003,,,,,,,,,,,"Iron, Wood",,X,X,,,,,,,,,,
x,co004,Dice,TRUE,,"Add <img src=""images/blessing-die.png"" class=""CardSymbol""> to attacks and spellcasting.",3,0,1,,1,,,,,"cb002,cb003,cb006,cb008,cb009",,"cb002,","cb003,",,,"cb006,",,"cb008,",cb009,,,,,"Iron, Silver",,X,X,,,X,,X,X,,,,
x,co005,Dice,,,"Add <img src=""images/standard-die.png"" class=""CardSymbol""> to attacks.",1,0,,,,,1,,,"cb002,cb005,cb006,cb007",,"cb002,",,,"cb005,","cb006,",cb007,,,,,,,Steel,,X,,,X,X,X,,,,,,
x,co006,Dice,,,"Add <img src=""images/enhancement-die.png"" class=""CardSymbol""> to attacks.",1,0,,,,,1,,,cb005,,,,,cb005,,,,,,,,,Steel,,,,,X,,,,,,,,
x,co007,Dice,,,"Add <img src=""images/power-die.png"" class=""CardSymbol""> to attacks,<br><penalty>but <img src=""images/cursed-die.png"" class=""CardSymbol""> to melee defense.</penalty>",3,0,,1,,,,1,,"cb005,cb006",,,,,"cb005,",cb006,,,,,,,,"Celestium, Wood",,,,,X,X,,,,,,,
x,co008,Dice,,,"Add <img src=""images/blessing-die.png"" class=""CardSymbol""> to attacks.",1,0,1,,,,,,,"cb004,cb006,cb007",,,,"cb004,",,"cb006,",cb007,,,,,,,Iron,,,,X,,X,X,,,,,,
x,co009,Dice,,,"Add <img src=""images/power-die.png"" class=""CardSymbol""> to attacks and spellcasting,<br><penalty>but <img src=""images/cursed-die.png"" class=""CardSymbol""> to defense.</penalty>",4,0,,,1,,1,1,1,cb008,,,,,,,,cb008,,,,,,"Celestium, Hardwood, Steel, Silver",,,,,,,,X,,,,,
x,co010,Dice,,,"Add <img src=""images/blessing-die.png"" class=""CardSymbol""> to spellcasting and melee defense.",3,0,1,,1,,,,,cb009,,,,,,,,,cb009,,,,,"Iron, Silver",,,,,,,,,X,,,,
x,co011,Dice,,,"Add <img src=""images/blessing-die.png"" class=""CardSymbol""> to defense.",2,0,1,,,1,,,,"cb010,cb011,cb012,cb013",,,,,,,,,,"cb010,","cb011,","cb012,",cb013,"Iron, Cloth",,,,,,,,,,X,X,X,X
x,co012,Dice,,,"Add <img src=""images/enhancement-die.png"" class=""CardSymbol""> to defense.",2,0,,,,1,1,,,"cb010,cb012,cb013",,,,,,,,,,"cb010,",,"cb012,",cb013,"Steel, Cloth",,,,,,,,,,X,,X,X
x,co013,Dice,,,"Add <img src=""images/standard-die.png"" class=""CardSymbol""> to defense.",2,0,,,,1,1,,,cb012,,,,,,,,,,,,cb012,,"Steel, Cloth",,,,,,,,,,,,X,
x,co014,Dice,,,"Add <img src=""images/power-die.png"" class=""CardSymbol""> to defense,<br><penalty>but <img src=""images/cursed-die.png"" class=""CardSymbol""> to attacks.</penalty>",2,0,1,,,,1,,,cb013,,,,,,,,,,,,,cb013,"Iron, Steel",,,,,,,,,,,,,X
x,co015,Dice,TRUE,,"Add <img src=""images/power-die.png"" class=""CardSymbol""> to spellcasting,<br><penalty>but <img src=""images/cursed-die.png"" class=""CardSymbol""> to defense.</penalty>",4,0,,,,,,1,1,cb011,,,,,,,,,,,cb011,,,"Celestium, Hardwood",,,,,,,,,,,X,,
x,co016,Trait,,,Gain <reach>Reach</reach>,1,0,1,,,,,,,"cb001,cb005,cb008","cb001,",,,,"cb005,",,,cb008,,,,,,Iron,X,,,,X,,,X,,,,,
x,co017,Trait,,,Gain <slippery>Slippery</slippery>,3,0,,,1,,1,,,"cb001,cb003","cb001,",,cb003,,,,,,,,,,,"Silver, Steel",X,,X,,,,,,,,,,
x,co018,Trait,,,Gain <nimble>Nimble</nimble>,2,0,1,,,1,,,,"cb002,cb004",,"cb002,",,cb004,,,,,,,,,,"Cloth, Iron",,X,,X,,,,,,,,,
x,co019,Trait,,,Gain up to <initiative>+1 Initiative</initiative>,2,0,,,1,,,,,"cb002,cb006,cb007",,"cb002,",,,,"cb006,",cb007,,,,,,,Silver,,X,,,,X,X,,,,,,
x,co020,Trait,,,Gain <speed>+1 Speed</speed>,1,0,,,,1,,,,"cb004,cb007,cb011",,,,"cb004,",,,"cb007,",,,,cb011,,,Cloth,,,,X,,,X,,,,X,,
x,co021,Trait,,,Gain <toughness>+1 Toughness</toughness> (1st row only),1,0,,,,,1,,,"cb012,cb013",,,,,,,,,,,,"cb012,",cb013,Steel,,,,,,,,,,,,X,X
x,co022,Trait,,,Become immune to <bleed>Bleed</bleed>.,2,0,,,,1,,,1,"cb012,cb013",,,,,,,,,,,,"cb012,",cb013,"Hardwood, Cloth",,,,,,,,,,,,X,X
x,co023,Trait,,,Become immune to <cursed>Cursed</cursed>.,2,0,,,1,,,,,cb011,,,,,,,,,,,cb011,,,Silver,,,,,,,,,,,X,,
x,co024,Trait,,,Become immune to <terror>Terror</terror>.,2,0,,1,,1,,,,cb011,,,,,,,,,,,cb011,,,"Cloth, Wood",,,,,,,,,,,X,,
