publish,name,@portrait,@background-image,speed,wt1,wt2,wt3,surgeSpend,defaultPerkTitle,defaultPerk,perk1ATitle,perk1A,perk1BTitle,perk1B,perk2ATitle,perk2A,perk2BTitle,perk2B
x,Archer,/images/archer.png,/images/common-bg.png,3,3,4,6,Move (1)  (gain Slippery),Marksman,Increase the range of your ranged attacks by +2 squares.,Clear Shot,Add +1 power to your attacks if the enemy is at least 5 squares away.,Disciplined Aim,Do not suffer a penalty when using a ranged weapon while being adjacent to an enemy.,Ballistics,Add (Blessing Die) to your ranged attacks with bows or crossbows.,Resourceful,When performing a ranged attack: You may spend (Star) to reduce the cooldown of that card by 2.
x,Bard,/images/bard.png,/images/common-bg.png,4,3,4,6,Move an ally by 1 square  (grant Slippery),Motivation,"Once during your turn, you may move an ally by up to 2 squares.",Lucky Dodge,"Once per round, if you would get attacked, you may instead put a hand card on cooldown 5 to negate the attack.",Refreshing Tunes,"Whenever you play a major action with a base cooldown of 4 or higher, you may heal a scratch from an ally within range 5.",Lasting Impression,On any roll: You may spend (Star) to increase the duration of an ally's ongoing effect by 1.,Mending Words,On any roll: You may spend (Star) to decrease the duration of an ally's negative ongoing effect by 1.
x,Knight,/images/knight.png,/images/common-bg.png,2,5,5,6,Move an enemy within range 2 by 1 square,Irrepressible,"Once per adventure, at any point during your turn, you may heal all scratches from yourself.",Armor Mastery,"If you wear medium or heavy armor, add (Blessing Die) to your defense.",Counter Attack,When defending: You may spend (Star) to perform a free melee attack against the attacker.,Pull Together,Ignore (Cursed Die) that you'd get for having wounds.,Last Stand,Add (Power Die) to your attacks if your party has a total of two wounds or least one ally is without a vessel.
x,Peasant,/images/peasant.png,/images/common-bg.png,3,3,5,5,Move (1)  (gain Slippery),Quick Recovery,"As long as you don't have any wounds, heal one scratch from yourself at the beginning of your turns.",Unbending,'Quick Recovery' also works while having up to one wound.,Militia Training,Add (Blessing Die) when attacking with a polearm.,Shake It Off,"At beginning of your turns, reduce the duration of one of your negative ongoing effects by 1.",Mule,You can carry up to two additional items in your backpack.
x,Priest,/images/priest.png,/images/common-bg.png,3,4,4,5,Move an ally by 1 square  (grant Slippery),Healing Prayers,"Whenever you use a major action that could heal at least one scratch or wound, heal one scratch from an ally within range 3.",Miracle,"At any time, you may discard one of your hand cards for the remainder of this adventure to heal any one wound. Only once per adventure.",Curry Favor,"At the beginning of a round (before picking cards), if you only have three hand cards or less, reduce the cooldown of all your cards by 1.",Divine Intervention,"Once per adventure, you can prevent an event from happening.",Life Link,"If you would take your last wound and lose this vessel, another hero may voluntarily take that wound instead.  You remain with a full row of scratches."
x,Thief,/images/thief.png,/images/common-bg.png,4,4,5,5,Move (1)  (gain Slippery),Greedy Eye,"If you loot a treasure chest, draw three item cards and pick two.",Combat Dancer,Passively gain Slippery (automatically pass all escape tests).,Acrobatics,Passively gain Nimble (ability to move through other models).,Alertness,"Once per round, if an enemy would get adjacent to you, you may immediately Move (3).",Quick Wits,Increase your initiative by up to +2.
x,Warrior,/images/warrior.png,/images/common-bg.png,3,5,5,6,Move (1)  (gain Slippery),Primal Force,Add (Blessing Die) when attacking with a 2h weapon or two 1h weapons (shields do not count).,"No Pain, No Gain",Turn one (Cursed Die) you'd suffer from wounds into a (Blessing Die).,Combat Tactics,You can distribute and use your default movement points (resulting from your vessel's speed) freely throughout your turn.,Reckless Strikes,"You may add (Power Die) to your attacks, but suffer a scratch in the process.",Overpowering Advances,"If you just moved to get adjacent to an enemy, add +2 power if you attack them (only on the first attack after moving)."
x,Wizard,/images/wizard.png,/images/common-bg.png,2,3,4,6,Reduce one of your cooldowns by 1,Arcane Studies,You may add (Standard Die) to your spellcasting dice pool (decide before rolling).,Astral Burst,Add (Blessing Die) to your first spellcasting roll of each round.,Quickweaving,Your first used spell of each round has -1 cooldown.,Ready Magick,"Once per round, you may spend (Star) (on any roll) to immediately play a spell from your hand.",Infinite Wisdom,"Add any one spell (base level) to your hand cards (does not affect your card purchase costs). If you lose this vessel, that spell is lost as well."
x,Courtesan,/images/courtesan.png,/images/legendary-bg.png,3,3,5,5,Move an ally by 1 square  (grant Slippery),Comforting Words,"Once during your turn, heal a scratch from an ally within range 3 or reduce the duration of an ongoing effect on them by 1.",Incarnated Passion,"Once per adventure, you may grant yourself and all allies (Enhancement Die) (Blessing Die) on all rolls for one round.",Surprising Stab,"Once per round, at any time, you may perform a free melee attack, but you add (Blessing Die) (Blessing Die) instead of what your weapons provide.  You may spend each (Plus) to add +1 power.",Worth Dying For,"Once per round, you may redirect an attack targeted against you to an adjacent ally. They add (Blessing Die) (Blessing Die) to their defense.",Empathetic Fighting,"Whenever you perform a major action, you may reduce the cooldown of an ally's card by 1. "
x,Samurai,/images/samurai.png,/images/legendary-bg.png,3,5,5,6,Move an enemy within range 2 by 1 square,Bushido,"Cannot use shields. Whenever you defend, gain an honor token (max. 6). You may spend 4 honor tokens at any time to play a card from your hand.",Honorable Challenge,You may spend 3 honor tokens to force an adjacent enemy to attack you instead of an ally.,Retaliate,"Once you suffered a total of 3 or more scratches during a round, perform a free attack against all adjacent enemies, and cause Knockback (2) with it.",Combat Meditation,You may spend 2 movement points to generate 1 honor token.,Standoff,"If you attack or defend against an enemy while not being adjacent to other enemies or allies, add (Enhancement Die) to those rolls."
